script,config,feature,category
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_2,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_3,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_4,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_5,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_6,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_7,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_8,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_9,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_1,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_2,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_3,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_4,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_5,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_6,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_7,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_8,audio:LPC
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Average_9,audio:LPC
02_diagnostics_vif_pca,audio_only_152,Spectral_Centroid_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Rolloff_Point_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Flux_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Compactness_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Variability_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Root_Mean_Square_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Zero_Crossings_Overall_Standard_Deviation_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Centroid_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Rolloff_Point_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Flux_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Compactness_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Spectral_Variability_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Root_Mean_Square_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Fraction_Of_Low_Energy_Windows_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Zero_Crossings_Overall_Average_1,audio:lowlevel
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,Std_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_1,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_2,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_3,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_4,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_5,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_6,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_7,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_8,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_9,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_10,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_11,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_12,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Standard_Deviation_13,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_1,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_2,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_3,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_4,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_5,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_6,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_7,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_8,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_9,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_10,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_11,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_12,audio:MFCC_simple
02_diagnostics_vif_pca,audio_only_152,MFCC_Overall_Average_13,audio:MFCC_simple
02_diagnostics_vif_pca,OLS_top3_PCs,<3 principal components from 152 audio>,derived
02_diagnostics_vif_pca,OLS_top9_PCs,<9 principal components from 152 audio>,derived
02_diagnostics_vif_pca,OLS_top18_PCs,<18 principal components from 152 audio>,derived
02_diagnostics_vif_pca,OLS_top30_PCs,<30 principal components from 152 audio>,derived
02_diagnostics_vif_pca,OLS_top58_PCs,<58 principal components from 152 audio>,derived
02_diagnostics_vif_pca,OLS_top100_PCs,<100 principal components from 152 audio>,derived
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_1,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_2,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_3,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_4,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_5,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_6,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_7,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_8,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_9,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Standard_Deviation_10,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_1,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_2,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_3,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_4,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_5,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_6,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_7,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_8,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_9,audio:Area_MoM
03_extended_baselines,audio_only,Area_Method_of_Moments_Overall_Average_10,audio:Area_MoM
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_1,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_2,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_3,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_4,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_5,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_6,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_7,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_8,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Standard_Deviation_9,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_1,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_2,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_3,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_4,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_5,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_6,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_7,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_8,audio:LPC
03_extended_baselines,audio_only,LPC_Overall_Average_9,audio:LPC
03_extended_baselines,audio_only,Spectral_Centroid_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Rolloff_Point_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Flux_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Compactness_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Variability_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Root_Mean_Square_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Zero_Crossings_Overall_Standard_Deviation_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Centroid_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Rolloff_Point_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Flux_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Compactness_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Spectral_Variability_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Root_Mean_Square_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Fraction_Of_Low_Energy_Windows_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Zero_Crossings_Overall_Average_1,audio:lowlevel
03_extended_baselines,audio_only,Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
03_extended_baselines,audio_only,Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
03_extended_baselines,audio_only,Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
03_extended_baselines,audio_only,Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
03_extended_baselines,audio_only,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas
