feature,category,02_audio_only_152,03_audio_only,03_audio_plus_numeric,03_audio_plus_genre,03_full_187,03_non_audio_only,03_numeric_only,03_genre_only,04_full_187,05_full,05_drop_n_tracks,05_drop_n_genres,05_strict_drop_both,05_drop_year_known_ratio,05_audio_plus_genre,05_audio_only
MFCC_Overall_Average_1,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_10,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_11,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_12,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_13,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_2,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_3,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_4,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_5,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_6,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_7,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_8,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Average_9,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_1,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_10,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_11,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_12,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_13,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_2,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_3,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_4,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_5,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_6,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_7,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_8,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
MFCC_Overall_Standard_Deviation_9,audio:MFCC_simple,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Compactness_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Compactness_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Fraction_Of_Low_Energy_Windows_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Root_Mean_Square_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Root_Mean_Square_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Centroid_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Centroid_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Flux_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Flux_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Rolloff_Point_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Rolloff_Point_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Variability_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Spectral_Variability_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Zero_Crossings_Overall_Average_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Zero_Crossings_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
genre_alternative,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_alternative rock,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_ambient,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_american,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_blues,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_disco,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_downtempo,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_electro,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_electronic,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_electronica,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_experimental,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_folk,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_funk,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_germany,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_hardcore,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_hip hop,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_house,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_indie,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_indie rock,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_jazz,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_pop,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_pop rock,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_punk,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_rock,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_soul,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
genre_synthpop,genre,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
