feature,category,in_raw_216,in_after_manual,in_after_zerovar,final_audio_152
Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Zero_Crossings_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Spectral_Centroid_Overall_Average_1,audio:lowlevel,1,1,1,1
Spectral_Rolloff_Point_Overall_Average_1,audio:lowlevel,1,1,1,1
Spectral_Flux_Overall_Average_1,audio:lowlevel,1,1,1,1
Compactness_Overall_Average_1,audio:lowlevel,1,1,1,1
Spectral_Variability_Overall_Average_1,audio:lowlevel,1,1,1,1
Root_Mean_Square_Overall_Average_1,audio:lowlevel,1,1,1,1
Fraction_Of_Low_Energy_Windows_Overall_Average_1,audio:lowlevel,1,1,1,1
Zero_Crossings_Overall_Average_1,audio:lowlevel,1,1,1,1
Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas_MFCC (pruned),1,0,0,0
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
Std_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,audio:marsyas,1,1,1,1
MFCC_Overall_Standard_Deviation_1,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_2,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_3,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_4,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_5,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_6,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_7,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_8,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_9,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_10,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_11,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_12,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Standard_Deviation_13,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_1,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_2,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_3,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_4,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_5,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_6,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_7,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_8,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_9,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_10,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_11,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_12,audio:MFCC_simple,1,1,1,1
MFCC_Overall_Average_13,audio:MFCC_simple,1,1,1,1
Method_of_Moments_Overall_Standard_Deviation_1,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Standard_Deviation_2,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Standard_Deviation_3,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Standard_Deviation_4,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Standard_Deviation_5,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Average_1,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Average_2,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Average_3,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Average_4,audio:MoM (pruned),1,0,0,0
Method_of_Moments_Overall_Average_5,audio:MoM (pruned),1,0,0,0
