,vif
Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,38.337286101482405
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,37.447893359362865
LPC_Overall_Average_2,35.45153944890642
MFCC_Overall_Average_2,35.09400013772545
LPC_Overall_Average_4,32.72902793069738
LPC_Overall_Average_5,29.05982783458592
Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,28.095592902638845
Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,26.78349503062501
Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,25.912265273942968
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,23.611290615644183
LPC_Overall_Average_9,22.844193483054532
LPC_Overall_Standard_Deviation_7,21.540342362708987
MFCC_Overall_Standard_Deviation_1,21.28424466039383
Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,20.431264350342502
Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,20.13743847917556
Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,18.027603873094716
Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,16.196038681669712
Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,15.287615417697046
LPC_Overall_Average_6,15.114177627842198
MFCC_Overall_Average_3,15.011032264851387
Area_Method_of_Moments_Overall_Standard_Deviation_1,14.784292990111364
LPC_Overall_Standard_Deviation_5,14.499800309878347
LPC_Overall_Standard_Deviation_2,14.334820056595413
Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,13.835861393814385
Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,13.112041645584972
LPC_Overall_Standard_Deviation_9,12.88170680515413
LPC_Overall_Average_7,11.832023753481662
LPC_Overall_Standard_Deviation_8,11.082267831450274
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,11.056489379150767
LPC_Overall_Standard_Deviation_4,10.91953843118648
LPC_Overall_Standard_Deviation_3,10.148672127466318
MFCC_Overall_Standard_Deviation_12,8.336823283791455
MFCC_Overall_Standard_Deviation_9,8.14668927585698
MFCC_Overall_Standard_Deviation_10,8.028956430587659
MFCC_Overall_Standard_Deviation_13,7.780540579621432
LPC_Overall_Standard_Deviation_6,7.774305405635546
MFCC_Overall_Standard_Deviation_11,7.415270135470235
MFCC_Overall_Standard_Deviation_8,7.293019723317781
Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,7.27777529825494
Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,7.263458596959806
MFCC_Overall_Standard_Deviation_7,7.206458161731659
MFCC_Overall_Standard_Deviation_2,6.967665808748837
MFCC_Overall_Standard_Deviation_5,6.904672184108811
MFCC_Overall_Average_4,6.796832233326095
LPC_Overall_Average_8,6.62589784667132
MFCC_Overall_Standard_Deviation_3,6.6108915915004465
MFCC_Overall_Standard_Deviation_6,6.097136331034319
MFCC_Overall_Standard_Deviation_4,5.887151219016848
MFCC_Overall_Average_5,4.866834582450997
Compactness_Overall_Average_1,4.756647284793347
MFCC_Overall_Average_6,3.805277886215719
Compactness_Overall_Standard_Deviation_1,3.215876315636308
MFCC_Overall_Average_8,3.1313865630780104
MFCC_Overall_Average_7,2.931807202574249
MFCC_Overall_Average_9,2.786123622196695
Fraction_Of_Low_Energy_Windows_Overall_Average_1,2.6317568024841744
Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,2.3998188752900953
MFCC_Overall_Average_13,2.183868938243632
MFCC_Overall_Average_11,2.154844835459627
MFCC_Overall_Average_10,2.0900772609752654
MFCC_Overall_Average_12,2.0756225902290346
